year,state,deaths,population,mortality_rate_per_100k
2020,Kentucky,11345.0,4477251.0,253.4
2020,Louisiana,12255.0,4645318.0,263.8
2020,Maine,3035.0,1350141.0,224.8
2020,Maryland,12624.0,6055802.0,208.5
2020,Massachusetts,11781.0,6893574.0,170.9
2020,Michigan,27127.0,9966555.0,272.2
2020,Minnesota,8562.0,5657342.0,151.3
2020,Mississippi,8809.0,2966786.0,296.9
2020,Missouri,15934.0,6151548.0,259.0
2020,Montana,2424.0,1080577.0,224.3
2020,Nebraska,3532.0,1937552.0,182.3
2020,Nevada,7285.0,3138259.0,232.1
2020,New Hampshire,2814.0,1366275.0,206.0
2020,New Jersey,19744.0,8882371.0,222.3
2020,New Mexico,4219.0,2106319.0,200.3
2020,New York,48546.0,19336776.0,251.1
2020,North Carolina,20373.0,10600823.0,192.2
2020,North Dakota,1449.0,765309.0,189.3
2020,Ohio,30547.0,11693217.0,261.2
2020,Oklahoma,11758.0,3980783.0,295.4
2020,Oregon,7371.0,4241507.0,173.8
2020,Pennsylvania,32936.0,12783254.0,257.6
2020,Rhode Island,2319.0,1057125.0,219.4
2020,South Carolina,11385.0,5218040.0,218.2
2020,South Dakota,1820.0,892717.0,203.9
2020,Tennessee,17943.0,6886834.0,260.5
2020,Texas,50281.0,29360759.0,171.3
2020,Utah,4251.0,3249879.0,130.8
2020,Vermont,1521.0,623347.0,244.0
2020,Virginia,15678.0,8590563.0,182.5
2020,Washington,12084.0,7693612.0,157.1
2020,West Virginia,5123.0,1784787.0,287.0
2020,Wisconsin,12641.0,5832655.0,216.7
2020,Wyoming,1174.0,582328.0,201.6
2021,Alabama,15173.0,5039877.0,301.1
2021,Alaska,1011.0,732673.0,138.0
2021,Arizona,14550.0,7276316.0,200.0
2021,Arkansas,8547.0,3025891.0,282.5
2021,California,65471.0,39237836.0,166.9
2021,Colorado,8081.0,5812069.0,139.0
2021,Connecticut,6731.0,3605597.0,186.7
2021,Delaware,2183.0,1003384.0,217.6
2021,District of Columbia,1288.0,670050.0,192.2
2021,Florida,50100.0,21781128.0,230.0
2021,Georgia,21931.0,10799566.0,203.1
2021,Hawaii,2651.0,1441553.0,183.9
2021,Idaho,3429.0,1900923.0,180.4
2021,Illinois,26291.0,12671469.0,207.5
2021,Indiana,15209.0,6805985.0,223.5
2021,Iowa,7704.0,3193079.0,241.3
2021,Kansas,6315.0,2934582.0,215.2
2021,Kentucky,11697.0,4509394.0,259.4
2021,Louisiana,12564.0,4624047.0,271.7
2021,Maine,3357.0,1372247.0,244.6
2021,Maryland,12138.0,6165129.0,196.9
2021,Massachusetts,11947.0,6984723.0,171.0
2021,Michigan,26664.0,10050811.0,265.3
2021,Minnesota,8568.0,5707390.0,150.1
2021,Mississippi,8837.0,2949965.0,299.6
2021,Missouri,15713.0,6168187.0,254.7
2021,Montana,2536.0,1104271.0,229.7
2021,Nebraska,3776.0,1963692.0,192.3
2021,Nevada,7352.0,3143991.0,233.8
2021,New Hampshire,2845.0,1388992.0,204.8
2021,New Jersey,18508.0,9267130.0,199.7
2021,New Mexico,4182.0,2115877.0,197.6
2021,New York,42434.0,19835913.0,213.9
2021,North Carolina,21302.0,10551162.0,201.9
2021,North Dakota,1442.0,774948.0,186.1
2021,Ohio,30578.0,11780017.0,259.6
2021,Oklahoma,12158.0,3986639.0,305.0
2021,Oregon,7823.0,4246155.0,184.2
2021,Pennsylvania,32478.0,12964056.0,250.5
2021,Rhode Island,2359.0,1095610.0,215.3
2021,South Carolina,12118.0,5190705.0,233.5
2021,South Dakota,1695.0,895376.0,189.3
2021,Tennessee,18468.0,6975218.0,264.8
2021,Texas,50584.0,29527941.0,171.3
2021,Utah,4275.0,3337975.0,128.1
2021,Vermont,1585.0,645570.0,245.5
2021,Virginia,16654.0,8642274.0,192.7
2021,Washington,12789.0,7738692.0,165.3
2021,West Virginia,5549.0,1782959.0,311.2
2021,Wisconsin,12791.0,5895908.0,216.9
2021,Wyoming,1116.0,578803.0,192.8
2022,Alabama,14958.0,5074296.0,294.8
2022,Alaska,1013.0,733583.0,138.1
2022,Arizona,14593.0,7359197.0,198.3
2022,Arkansas,8664.0,3045637.0,284.5
2022,California,66340.0,39029342.0,170.0
2022,Colorado,8389.0,5839926.0,143.6
2022,Connecticut,6899.0,3626205.0,190.3
2022,Delaware,2220.0,1018396.0,218.0
2022,District of Columbia,1239.0,671803.0,184.4
2022,Florida,49877.0,22244823.0,224.2
2022,Georgia,21728.0,10912876.0,199.1
2022,Hawaii,2862.0,1440196.0,198.7
2022,Idaho,3491.0,1939033.0,180.0
2022,Illinois,26781.0,12582032.0,212.9
2022,Indiana,15385.0,6833037.0,225.2
2022,Iowa,7786.0,3200517.0,243.3
2022,Kansas,6440.0,2937150.0,219.3
2022,Kentucky,11654.0,4512310.0,258.3
2022,Louisiana,12284.0,4590241.0,267.6
2022,Maine,3592.0,1385340.0,259.3
2022,Maryland,12086.0,6164660.0,196.1
2022,Massachusetts,12427.0,6981974.0,178.0
2022,Michigan,27266.0,10034113.0,271.7
2022,Minnesota,9175.0,5717184.0,160.5
2022,Mississippi,8858.0,2940057.0,301.3
2022,Missouri,16143.0,6177957.0,261.3
2022,Montana,2539.0,1122867.0,226.1
2022,Nebraska,3804.0,1967923.0,193.3
2022,Nevada,7337.0,3177772.0,230.9
2022,New Hampshire,2951.0,1395231.0,211.5
2022,New Jersey,18707.0,9261699.0,202.0
2022,New Mexico,4369.0,2113344.0,206.7
2022,New York,43237.0,19677151.0,219.7
2022,North Carolina,21763.0,10698973.0,203.4
2022,North Dakota,1538.0,779261.0,197.4
2022,Ohio,30041.0,11756058.0,255.5
2022,Oklahoma,12268.0,4019800.0,305.2
2022,Oregon,8152.0,4240137.0,192.3
2022,Pennsylvania,32522.0,12972008.0,250.7
2022,Rhode Island,2369.0,1093734.0,216.6
2022,South Carolina,12038.0,5282634.0,227.9
2022,South Dakota,1850.0,909824.0,203.3
2022,Tennessee,18727.0,7051339.0,265.6
2022,Texas,50672.0,30029572.0,168.7
2022,Utah,4460.0,3380800.0,131.9
2022,Vermont,1589.0,647064.0,245.6
2022,Virginia,16902.0,8683619.0,194.6
2022,Washington,13218.0,7785786.0,169.8
2022,West Virginia,5399.0,1775156.0,304.1
2022,Wisconsin,13128.0,5892539.0,222.8
2022,Wyoming,1150.0,581381.0,197.8
2023,Alabama,14587.0,5108468.0,285.5
2023,Alaska,918.0,733406.0,125.2
2023,Arizona,14641.0,7431344.0,197.0
2023,Arkansas,8443.0,3067732.0,275.2
2023,California,64173.0,38965193.0,164.7
2023,Colorado,8109.0,5877610.0,138.0
2023,Connecticut,6601.0,3617176.0,182.5
2023,Delaware,2244.0,1031890.0,217.5
2023,District of Columbia,1051.0,678972.0,154.8
2023,Florida,49495.0,22610726.0,218.9
2023,Georgia,21273.0,11029227.0,192.9
2023,Hawaii,2763.0,1435138.0,192.5
2023,Idaho,3292.0,1964726.0,167.6
2023,Illinois,25634.0,12549689.0,204.3
2023,Indiana,15161.0,6862199.0,220.9
2023,Iowa,7644.0,3207004.0,238.4
2023,Kansas,6199.0,2940546.0,210.8
2023,Kentucky,10988.0,4526154.0,242.8
2023,Louisiana,11895.0,4573749.0,260.1
2023,Maine,3475.0,1395722.0,249.0
2023,Maryland,11529.0,6180253.0,186.5
2023,Massachusetts,11959.0,7001399.0,170.8
2023,Michigan,26205.0,10037261.0,261.1
2023,Minnesota,8843.0,5737915.0,154.1
2023,Mississippi,8441.0,2939690.0,287.1
2023,Missouri,15137.0,6196156.0,244.3
2023,Montana,2492.0,1132812.0,220.0
2023,Nebraska,3853.0,1978379.0,194.8
2023,Nevada,6989.0,3194176.0,218.8
2023,New Hampshire,2988.0,1402054.0,213.1
2023,New Jersey,17748.0,9290841.0,191.0
2023,New Mexico,4616.0,2114371.0,218.3
2023,New York,41172.0,19571216.0,210.4
2023,North Carolina,21192.0,10835491.0,195.6
2023,North Dakota,1576.0,783926.0,201.0
2023,Ohio,28193.0,11785935.0,239.2
2023,Oklahoma,11913.0,4053824.0,293.9
2023,Oregon,7832.0,4233358.0,185.0
2023,Pennsylvania,30946.0,12961683.0,238.7
2023,Rhode Island,2346.0,1095962.0,214.1
2023,South Carolina,12277.0,5373555.0,228.5
2023,South Dakota,1796.0,919318.0,195.4
2023,Tennessee,17955.0,7126489.0,251.9
2023,Texas,50111.0,30503301.0,164.3
2023,Utah,4509.0,3417734.0,131.9
2023,Vermont,1436.0,647464.0,221.8
2023,Virginia,16487.0,8715698.0,189.2
2023,Washington,12485.0,7812880.0,159.8
2023,West Virginia,5244.0,1770071.0,296.3
2023,Wisconsin,12999.0,5910955.0,219.9
2023,Wyoming,1126.0,584057.0,192.8
2024,Alabama,14727.0,5157699.0,285.5
2024,Alaska,831.0,740133.0,112.3
2024,Arizona,14918.0,7582384.0,196.7
2024,Arkansas,8532.0,3088354.0,276.3
2024,California,62439.0,39431263.0,158.3
2024,Colorado,7882.0,5957493.0,132.3
2024,Connecticut,6697.0,3675069.0,182.2
2024,Delaware,2259.0,1051917.0,214.8
2024,District of Columbia,1085.0,702250.0,154.5
2024,Florida,50008.0,23372215.0,214.0
2024,Georgia,21725.0,11180878.0,194.3
2024,Hawaii,3006.0,1446146.0,207.9
2024,Idaho,3449.0,2001619.0,172.3
2024,Illinois,25150.0,12710158.0,197.9
2024,Indiana,15310.0,6924275.0,221.1
2024,Iowa,7575.0,3241488.0,233.7
2024,Kansas,6074.0,2970606.0,204.5
2024,Kentucky,11292.0,4588372.0,246.1
2024,Louisiana,12327.0,4597740.0,268.1
2024,Maine,3438.0,1405012.0,244.7
2024,Maryland,11450.0,6263220.0,182.8
2024,Massachusetts,11631.0,7136171.0,163.0
2024,Michigan,26240.0,10140459.0,258.8
2024,Minnesota,9228.0,5793151.0,159.3
2024,Mississippi,8586.0,2943045.0,291.7
2024,Missouri,15406.0,6245466.0,246.7
2024,Montana,2617.0,1137233.0,230.1
2024,Nebraska,3767.0,2005465.0,187.8
2024,Nevada,7130.0,3267467.0,218.2
2024,New Hampshire,2899.0,1409032.0,205.7
2024,New Jersey,17718.0,9500851.0,186.5
2024,New Mexico,4563.0,2130256.0,214.2
2024,New York,40542.0,19867248.0,204.1
2024,North Carolina,21126.0,11046024.0,191.3
2024,North Dakota,1638.0,796568.0,205.6
2024,Ohio,28929.0,11883304.0,243.4
2024,Oklahoma,12432.0,4095393.0,303.6
2024,Oregon,7611.0,4272371.0,178.1
2024,Pennsylvania,30768.0,13078751.0,235.3
2024,Rhode Island,2317.0,1112308.0,208.3
2024,South Carolina,12494.0,5478831.0,228.0
2024,South Dakota,1730.0,924669.0,187.1
2024,Tennessee,18432.0,7227750.0,255.0
2024,Texas,50723.0,31290831.0,162.1
2024,Utah,4622.0,3503613.0,131.9
2024,Vermont,1533.0,648493.0,236.4
2024,Virginia,16631.0,8811195.0,188.7
2024,Washington,12646.0,7958180.0,158.9
2024,West Virginia,5364.0,1769979.0,303.1
2024,Wisconsin,12793.0,5960975.0,214.6
2024,Wyoming,1201.0,587618.0,204.4
